,cat,word1,word2,n,date,institution
42,Learnings,selling,cooperatives,48,1/18/2024,IKEA Foundation 
43,Learnings,financial,sector,47,1/18/2024,IKEA Foundation 
44,Learnings,climate,smart,46,1/18/2024,IKEA Foundation 
45,Grants,stakeholder,interviews,45,1/18/2024,IKEA Foundation 
46,Learnings,agriculture,cooperatives,44,1/18/2024,IKEA Foundation 
47,Learnings,ecosystem,services,44,1/18/2024,IKEA Foundation 
48,Grants,ladder,june,43,1/18/2024,IKEA Foundation 
49,Learnings,county,government,43,1/18/2024,IKEA Foundation 
50,Grants,case,studies,42,1/18/2024,IKEA Foundation 
51,Learnings,livelihoods,projects,42,1/18/2024,IKEA Foundation 
52,Learnings,livestock,trading,40,1/18/2024,IKEA Foundation 
53,Learnings,steering,committee,40,1/18/2024,IKEA Foundation 
54,Learnings,community,members,39,1/18/2024,IKEA Foundation 
55,Learnings,business,metric,38,1/18/2024,IKEA Foundation 
56,Learnings,target,validation,38,1/18/2024,IKEA Foundation 
57,Learnings,addis,ababa,37,1/18/2024,IKEA Foundation 
58,Learnings,kenya,forest,37,1/18/2024,IKEA Foundation 
59,Grants,ikea,foundation,36,1/18/2024,IKEA Foundation 
60,Learnings,business,groups,36,1/18/2024,IKEA Foundation 
61,Learnings,landscape,management,36,1/18/2024,IKEA Foundation 
62,Learnings,nairobi,kenya,36,1/18/2024,IKEA Foundation 
63,Learnings,raphael,bradenbrink,36,1/18/2024,IKEA Foundation 
64,Learnings,target,setting,36,1/18/2024,IKEA Foundation 
65,Learnings,rsc,raphael,35,1/18/2024,IKEA Foundation 
66,Learnings,short,term,35,1/18/2024,IKEA Foundation 
67,Grants,beneficiary,survey,34,1/18/2024,IKEA Foundation 
68,Grants,carbon,management,34,1/18/2024,IKEA Foundation 
69,Learnings,host,communities,34,1/18/2024,IKEA Foundation 
70,Learnings,child,labour,33,1/18/2024,IKEA Foundation 
71,Learnings,iga,validation,33,1/18/2024,IKEA Foundation 
72,Learnings,kenya,national,33,1/18/2024,IKEA Foundation 
73,Learnings,partner,organisations,33,1/18/2024,IKEA Foundation 
74,Grants,coalition,board,32,1/18/2024,IKEA Foundation 
75,Learnings,cooperative,membership,32,1/18/2024,IKEA Foundation 
76,Learnings,corporate,engagement,32,1/18/2024,IKEA Foundation 
77,Learnings,household,consumption,32,1/18/2024,IKEA Foundation 
78,Learnings,impact,pathway,32,1/18/2024,IKEA Foundation 
79,Learnings,strategic,planning,32,1/18/2024,IKEA Foundation 
80,About,ikea,foundation,31,1/18/2024,IKEA Foundation 
81,Learnings,implementing,partners,31,1/18/2024,IKEA Foundation 
82,About,ethical,framework,30,1/18/2024,IKEA Foundation 
83,Learnings,cash,crops,30,1/18/2024,IKEA Foundation 
84,Learnings,civil,society,30,1/18/2024,IKEA Foundation 
85,Learnings,coffee,farmers,30,1/18/2024,IKEA Foundation 
86,Learnings,conservation,activities,30,1/18/2024,IKEA Foundation 
87,Learnings,energy,cooperative,30,1/18/2024,IKEA Foundation 
88,Learnings,energy,cooperatives,30,1/18/2024,IKEA Foundation 
89,Learnings,meat,sellers,30,1/18/2024,IKEA Foundation 
90,Learnings,responsible,investment,30,1/18/2024,IKEA Foundation 
91,Learnings,science,based,30,1/18/2024,IKEA Foundation 
92,Learnings,smart,agriculture,30,1/18/2024,IKEA Foundation 
93,Grants,compliance,committee,29,1/18/2024,IKEA Foundation 
94,Learnings,case,studies,29,1/18/2024,IKEA Foundation 
95,Learnings,evaluation,team,29,1/18/2024,IKEA Foundation 
96,Learnings,survey,quote,29,1/18/2024,IKEA Foundation 
97,Learnings,united,nations,29,1/18/2024,IKEA Foundation 
98,Grants,climate,action,28,1/18/2024,IKEA Foundation 
99,Grants,research,question,28,1/18/2024,IKEA Foundation 
100,Learnings,income,generating,28,1/18/2024,IKEA Foundation 
101,Learnings,thematic,update,28,1/18/2024,IKEA Foundation 
102,Grants,participating,companies,27,1/18/2024,IKEA Foundation 
103,Learnings,climate,action,27,1/18/2024,IKEA Foundation 
104,Learnings,land,cover,27,1/18/2024,IKEA Foundation 
105,Learnings,male,female,27,1/18/2024,IKEA Foundation 
106,Learnings,public,health,27,1/18/2024,IKEA Foundation 
107,Grants,control,group,26,1/18/2024,IKEA Foundation 
108,Learnings,longer,term,26,1/18/2024,IKEA Foundation 
109,Learnings,market,linkages,26,1/18/2024,IKEA Foundation 
110,Learnings,project,outcomes,26,1/18/2024,IKEA Foundation 
111,Learnings,refugee,economies,26,1/18/2024,IKEA Foundation 
112,Grants,south,africa,25,1/18/2024,IKEA Foundation 
113,Learnings,business,training,25,1/18/2024,IKEA Foundation 
114,Learnings,living,wage,25,1/18/2024,IKEA Foundation 
115,Learnings,member,geneva,25,1/18/2024,IKEA Foundation 
116,Learnings,national,council,25,1/18/2024,IKEA Foundation 
117,Learnings,office,melkadida,25,1/18/2024,IKEA Foundation 
118,Learnings,vulnerability,assessment,25,1/18/2024,IKEA Foundation 
119,Learnings,members,hilaweyn,24,1/18/2024,IKEA Foundation 
120,Learnings,migration,status,24,1/18/2024,IKEA Foundation 
121,Learnings,natural,resource,24,1/18/2024,IKEA Foundation 
122,Learnings,refugee,hosting,24,1/18/2024,IKEA Foundation 
123,Learnings,research,questions,24,1/18/2024,IKEA Foundation 
124,Learnings,smallholder,farmers,24,1/18/2024,IKEA Foundation 
125,Learnings,trading,cooperative,24,1/18/2024,IKEA Foundation 
126,Learnings,world,bank,24,1/18/2024,IKEA Foundation 
127,Learnings,food,security,23,1/18/2024,IKEA Foundation 
128,Learnings,resource,management,23,1/18/2024,IKEA Foundation 
129,Learnings,firewood,cooperatives,22,1/18/2024,IKEA Foundation 
130,Learnings,food,consumption,22,1/18/2024,IKEA Foundation 
131,Learnings,foundation,funded,22,1/18/2024,IKEA Foundation 
132,Learnings,gold,standard,22,1/18/2024,IKEA Foundation 
133,Learnings,household,income,22,1/18/2024,IKEA Foundation 
134,Learnings,methodological,development,22,1/18/2024,IKEA Foundation 
135,Learnings,mfi,loan,22,1/18/2024,IKEA Foundation 
136,Learnings,national,bureau,22,1/18/2024,IKEA Foundation 
137,Learnings,programme,activities,22,1/18/2024,IKEA Foundation 
138,Learnings,vulnerable,groups,22,1/18/2024,IKEA Foundation 
139,Grants,additional,effect,21,1/18/2024,IKEA Foundation 
140,Grants,biz,sakhi,21,1/18/2024,IKEA Foundation 
141,Grants,evaluation,team,21,1/18/2024,IKEA Foundation 
142,Grants,interviews,dalberg,21,1/18/2024,IKEA Foundation 
143,Learnings,business,plan,21,1/18/2024,IKEA Foundation 
144,Learnings,cooperative,member,21,1/18/2024,IKEA Foundation 
145,Learnings,cultivated,land,21,1/18/2024,IKEA Foundation 
146,Learnings,financial,products,21,1/18/2024,IKEA Foundation 
147,Learnings,foundation,supported,21,1/18/2024,IKEA Foundation 
148,Learnings,implementing,partner,21,1/18/2024,IKEA Foundation 
149,Learnings,livelihoods,program,21,1/18/2024,IKEA Foundation 
150,Learnings,selection,criteria,21,1/18/2024,IKEA Foundation 
151,Grants,corporate,engagement,20,1/18/2024,IKEA Foundation 
152,Grants,documents,beneficiary,20,1/18/2024,IKEA Foundation 
153,Grants,long,term,20,1/18/2024,IKEA Foundation 
154,Grants,program,documents,20,1/18/2024,IKEA Foundation 
155,Grants,reduction,targets,20,1/18/2024,IKEA Foundation 
156,Learnings,baseline,data,20,1/18/2024,IKEA Foundation 
157,Learnings,food,insecurity,20,1/18/2024,IKEA Foundation 
158,Learnings,grant,recipients,20,1/18/2024,IKEA Foundation 
159,Learnings,leadership,team,20,1/18/2024,IKEA Foundation 
160,Learnings,refugee,agriculture,20,1/18/2024,IKEA Foundation 
161,Learnings,refugee,cooperative,20,1/18/2024,IKEA Foundation 
162,Learnings,restricted,access,20,1/18/2024,IKEA Foundation 
163,Learnings,trade,offs,20,1/18/2024,IKEA Foundation 
164,Learnings,agricultural,practices,19,1/18/2024,IKEA Foundation 
165,Learnings,asset,managers,19,1/18/2024,IKEA Foundation 
166,Learnings,community,forest,19,1/18/2024,IKEA Foundation 
167,Learnings,comparison,groups,19,1/18/2024,IKEA Foundation 
168,Learnings,kenya,ecosystem,19,1/18/2024,IKEA Foundation 
169,Learnings,law,reporting,19,1/18/2024,IKEA Foundation 
170,Learnings,limited,access,19,1/18/2024,IKEA Foundation 
171,Learnings,policy,advocacy,19,1/18/2024,IKEA Foundation 
172,Learnings,primary,data,19,1/18/2024,IKEA Foundation 
173,Learnings,rainforest,alliance,19,1/18/2024,IKEA Foundation 
174,Grants,advisory,board,18,1/18/2024,IKEA Foundation 
175,Grants,climate,change,18,1/18/2024,IKEA Foundation 
176,Grants,private,sector,18,1/18/2024,IKEA Foundation 
177,Learnings,business,group,18,1/18/2024,IKEA Foundation 
178,Learnings,capacity,building,18,1/18/2024,IKEA Foundation 
179,Learnings,core,team,18,1/18/2024,IKEA Foundation 
180,Learnings,data,collected,18,1/18/2024,IKEA Foundation 
181,Learnings,government,actors,18,1/18/2024,IKEA Foundation 
182,Learnings,interest,rates,18,1/18/2024,IKEA Foundation 
183,Learnings,irrigation,sites,18,1/18/2024,IKEA Foundation 
184,Learnings,policy,makers,18,1/18/2024,IKEA Foundation 
185,Learnings,pre,existing,18,1/18/2024,IKEA Foundation 
186,Learnings,program,logic,18,1/18/2024,IKEA Foundation 
187,Learnings,socio,economic,18,1/18/2024,IKEA Foundation 
188,Learnings,syrian,refugees,18,1/18/2024,IKEA Foundation 
189,Learnings,water,resource,18,1/18/2024,IKEA Foundation 
190,Learnings,working,paper,18,1/18/2024,IKEA Foundation 
191,Grants,certified,companies,17,1/18/2024,IKEA Foundation 
192,Grants,source,dalberg,17,1/18/2024,IKEA Foundation 
193,Learnings,agricultural,production,17,1/18/2024,IKEA Foundation 
194,Learnings,climate,related,17,1/18/2024,IKEA Foundation 
195,Learnings,critical,mass,17,1/18/2024,IKEA Foundation 
196,Learnings,crop,production,17,1/18/2024,IKEA Foundation 
197,Learnings,delivery,teams,17,1/18/2024,IKEA Foundation 
198,Learnings,financial,support,17,1/18/2024,IKEA Foundation 
199,Learnings,group,discussions,17,1/18/2024,IKEA Foundation 
200,Learnings,human,rights,17,1/18/2024,IKEA Foundation 
201,Learnings,nature,kenya,17,1/18/2024,IKEA Foundation 
202,Learnings,process,evaluation,17,1/18/2024,IKEA Foundation 
203,Learnings,riparian,areas,17,1/18/2024,IKEA Foundation 
204,Learnings,statistics,knbs,17,1/18/2024,IKEA Foundation 
205,Learnings,survey,data,17,1/18/2024,IKEA Foundation 
206,Learnings,upper,tana,17,1/18/2024,IKEA Foundation 
207,Learnings,water,resources,17,1/18/2024,IKEA Foundation 
208,Grants,action,initiatives,16,1/18/2024,IKEA Foundation 
209,Grants,construction,sector,16,1/18/2024,IKEA Foundation 
210,Grants,corporate,climate,16,1/18/2024,IKEA Foundation 
211,Grants,emission,reductions,16,1/18/2024,IKEA Foundation 
212,Grants,energy,management,16,1/18/2024,IKEA Foundation 
213,Grants,policy,advocacy,16,1/18/2024,IKEA Foundation 
214,Grants,transformation,teams,16,1/18/2024,IKEA Foundation 
215,Learnings,financial,services,16,1/18/2024,IKEA Foundation 
216,Learnings,irrigation,canals,16,1/18/2024,IKEA Foundation 
217,Learnings,irrigation,site,16,1/18/2024,IKEA Foundation 
218,Learnings,large,number,16,1/18/2024,IKEA Foundation 
219,Learnings,local,authorities,16,1/18/2024,IKEA Foundation 
220,Learnings,quantitative,data,16,1/18/2024,IKEA Foundation 
221,Learnings,reference,period,16,1/18/2024,IKEA Foundation 
222,Learnings,refugee,farmers,16,1/18/2024,IKEA Foundation 
223,Learnings,refugee,households,16,1/18/2024,IKEA Foundation 
224,Learnings,semi,structured,16,1/18/2024,IKEA Foundation 
225,Grants,civil,engineering,15,1/18/2024,IKEA Foundation 
226,Grants,climate,group,15,1/18/2024,IKEA Foundation 
227,Grants,comparative,advantage,15,1/18/2024,IKEA Foundation 
228,Grants,group,survey,15,1/18/2024,IKEA Foundation 
229,Grants,market,linkages,15,1/18/2024,IKEA Foundation 
230,Grants,renewable,energy,15,1/18/2024,IKEA Foundation 
231,Learnings,asset,manager,15,1/18/2024,IKEA Foundation 
232,Learnings,commercial,banks,15,1/18/2024,IKEA Foundation 
233,Learnings,consumption,aggregate,15,1/18/2024,IKEA Foundation 
234,Learnings,cooperative,societies,15,1/18/2024,IKEA Foundation 
235,Learnings,cross,team,15,1/18/2024,IKEA Foundation 
236,Learnings,executive,summary,15,1/18/2024,IKEA Foundation 
237,Learnings,global,forest,15,1/18/2024,IKEA Foundation 
238,Learnings,grant,disbursement,15,1/18/2024,IKEA Foundation 
239,Learnings,landscape,finance,15,1/18/2024,IKEA Foundation 
240,Learnings,member,addis,15,1/18/2024,IKEA Foundation 
241,Learnings,members,melkadida,15,1/18/2024,IKEA Foundation 
242,Learnings,mini,grids,15,1/18/2024,IKEA Foundation 
243,Learnings,mount,kenya,15,1/18/2024,IKEA Foundation 
244,Learnings,qualitative,data,15,1/18/2024,IKEA Foundation 
245,Learnings,refugee,camps,15,1/18/2024,IKEA Foundation 
246,Learnings,renewable,energy,15,1/18/2024,IKEA Foundation 
247,Learnings,survey,results,15,1/18/2024,IKEA Foundation 
248,Learnings,treatment,group,15,1/18/2024,IKEA Foundation 
249,Learnings,tree,planting,15,1/18/2024,IKEA Foundation 
250,Grants,analysis,beneficiary,14,1/18/2024,IKEA Foundation 
251,Grants,energy,efficiency,14,1/18/2024,IKEA Foundation 
252,Grants,large,companies,14,1/18/2024,IKEA Foundation 
253,Grants,literature,review,14,1/18/2024,IKEA Foundation 
254,Grants,tendering,parties,14,1/18/2024,IKEA Foundation 
255,Learnings,agriculture,livestock,14,1/18/2024,IKEA Foundation 
256,Learnings,andonis,marden,14,1/18/2024,IKEA Foundation 
257,Learnings,business,practices,14,1/18/2024,IKEA Foundation 
258,Learnings,cash,transfers,14,1/18/2024,IKEA Foundation 
259,Learnings,coffee,zones,14,1/18/2024,IKEA Foundation 
260,Learnings,cooperative,farmers,14,1/18/2024,IKEA Foundation 
261,Learnings,durable,goods,14,1/18/2024,IKEA Foundation 
262,Learnings,evaluation,survey,14,1/18/2024,IKEA Foundation 
263,Learnings,extreme,weather,14,1/18/2024,IKEA Foundation 
264,Learnings,forest,service,14,1/18/2024,IKEA Foundation 
265,Learnings,full,sample,14,1/18/2024,IKEA Foundation 
266,Learnings,government,authorities,14,1/18/2024,IKEA Foundation 
267,Learnings,government,official,14,1/18/2024,IKEA Foundation 
268,Learnings,high,level,14,1/18/2024,IKEA Foundation 
269,Learnings,income,generation,14,1/18/2024,IKEA Foundation 
270,Learnings,key,findings,14,1/18/2024,IKEA Foundation 
271,Learnings,key,geographies,14,1/18/2024,IKEA Foundation 
272,Learnings,lessons,learned,14,1/18/2024,IKEA Foundation 
273,Learnings,medium,term,14,1/18/2024,IKEA Foundation 
274,Learnings,middle,income,14,1/18/2024,IKEA Foundation 
275,Learnings,national,government,14,1/18/2024,IKEA Foundation 
276,Learnings,national,level,14,1/18/2024,IKEA Foundation 
277,Learnings,oil,gas,14,1/18/2024,IKEA Foundation 
278,Learnings,pathway,landscape,14,1/18/2024,IKEA Foundation 
279,Learnings,pension,power,14,1/18/2024,IKEA Foundation 
280,Learnings,progress,report,14,1/18/2024,IKEA Foundation 
281,Learnings,propensity,score,14,1/18/2024,IKEA Foundation 
282,Learnings,public,level,14,1/18/2024,IKEA Foundation 
283,Learnings,solar,mini,14,1/18/2024,IKEA Foundation 
284,Learnings,supply,chain,14,1/18/2024,IKEA Foundation 
285,Learnings,survey,respondents,14,1/18/2024,IKEA Foundation 
286,Learnings,vice,chairman,14,1/18/2024,IKEA Foundation 
287,Grants,ambition,action,13,1/18/2024,IKEA Foundation 
288,Grants,based,targets,13,1/18/2024,IKEA Foundation 
289,Grants,competitive,advantage,13,1/18/2024,IKEA Foundation 
290,Grants,construction,company,13,1/18/2024,IKEA Foundation 
291,Grants,emissions,reductions,13,1/18/2024,IKEA Foundation 
292,Grants,global,alliance,13,1/18/2024,IKEA Foundation 
293,Grants,nsurvey,findings,13,1/18/2024,IKEA Foundation 
294,Grants,procurement,instrument,13,1/18/2024,IKEA Foundation 
295,Grants,programmatic,priorities,13,1/18/2024,IKEA Foundation 
296,Grants,research,questions,13,1/18/2024,IKEA Foundation 
297,Grants,science,based,13,1/18/2024,IKEA Foundation 
298,Grants,small,companies,13,1/18/2024,IKEA Foundation 
299,Grants,stichting,klimaatvriendelijk,13,1/18/2024,IKEA Foundation 
300,Learnings,agro,ecological,13,1/18/2024,IKEA Foundation 
301,Learnings,coffee,producers,13,1/18/2024,IKEA Foundation 
302,Learnings,cooperative,vice,13,1/18/2024,IKEA Foundation 
303,Learnings,eduardo,soteras,13,1/18/2024,IKEA Foundation 
304,Learnings,farm,sizes,13,1/18/2024,IKEA Foundation 
305,Learnings,female,male,13,1/18/2024,IKEA Foundation 
306,Learnings,firewood,cooperative,13,1/18/2024,IKEA Foundation 
307,Learnings,forest,watch,13,1/18/2024,IKEA Foundation 
308,Learnings,income,countries,13,1/18/2024,IKEA Foundation 
309,Learnings,landscape,approaches,13,1/18/2024,IKEA Foundation 
310,Learnings,loan,recipient,13,1/18/2024,IKEA Foundation 
311,Learnings,lower,parts,13,1/18/2024,IKEA Foundation 
312,Learnings,members,buramino,13,1/18/2024,IKEA Foundation 
313,Learnings,official,dollo,13,1/18/2024,IKEA Foundation 
314,Learnings,program,participants,13,1/18/2024,IKEA Foundation 
315,Learnings,refugee,members,13,1/18/2024,IKEA Foundation 
316,Learnings,refugee,policy,13,1/18/2024,IKEA Foundation 
317,Learnings,rsc,andonis,13,1/18/2024,IKEA Foundation 
318,Learnings,sector,specific,13,1/18/2024,IKEA Foundation 
319,Learnings,soil,organic,13,1/18/2024,IKEA Foundation 
320,Learnings,soil,quality,13,1/18/2024,IKEA Foundation 
321,Learnings,somali,region,13,1/18/2024,IKEA Foundation 
322,Learnings,soteras,jalil,13,1/18/2024,IKEA Foundation 
323,Learnings,sustainable,development,13,1/18/2024,IKEA Foundation 
324,Learnings,sustainable,landscape,13,1/18/2024,IKEA Foundation 
325,Learnings,tree,cover,13,1/18/2024,IKEA Foundation 
326,Learnings,users,associations,13,1/18/2024,IKEA Foundation 
327,Learnings,validation,process,13,1/18/2024,IKEA Foundation 
328,Learnings,young,people,13,1/18/2024,IKEA Foundation 
329,About,foundation,ethical,12,1/18/2024,IKEA Foundation 
330,Grants,ambition,initiatives,12,1/18/2024,IKEA Foundation 
331,Grants,coalition,initiatives,12,1/18/2024,IKEA Foundation 
332,Grants,heavy,industry,12,1/18/2024,IKEA Foundation 
333,Grants,literature,analysis,12,1/18/2024,IKEA Foundation 
334,Grants,material,emissions,12,1/18/2024,IKEA Foundation 
335,Grants,survey,findings,12,1/18/2024,IKEA Foundation 
336,Learnings,agricultural,productivity,12,1/18/2024,IKEA Foundation 
337,Learnings,board,members,12,1/18/2024,IKEA Foundation 
338,Learnings,bokolmanyo,melkadida,12,1/18/2024,IKEA Foundation 
339,Learnings,challenges,faced,12,1/18/2024,IKEA Foundation 
340,Learnings,communities,smallholder,12,1/18/2024,IKEA Foundation 
341,Learnings,evaluation,methodology,12,1/18/2024,IKEA Foundation 
342,Learnings,external,stakeholders,12,1/18/2024,IKEA Foundation 
343,Learnings,farming,activities,12,1/18/2024,IKEA Foundation 
344,Learnings,forest,reserve,12,1/18/2024,IKEA Foundation 
345,Learnings,formal,employment,12,1/18/2024,IKEA Foundation 
346,Learnings,global,compact,12,1/18/2024,IKEA Foundation 
347,Learnings,livestock,development,12,1/18/2024,IKEA Foundation 
348,Learnings,matching,variables,12,1/18/2024,IKEA Foundation 
349,Learnings,nembu,county,12,1/18/2024,IKEA Foundation 
350,Learnings,refugee,camp,12,1/18/2024,IKEA Foundation 
351,Learnings,sample,sizes,12,1/18/2024,IKEA Foundation 
352,Learnings,small,scale,12,1/18/2024,IKEA Foundation 
353,Learnings,staff,melkadida,12,1/18/2024,IKEA Foundation 
354,Learnings,structured,interviews,12,1/18/2024,IKEA Foundation 
355,Learnings,unconditional,cash,12,1/18/2024,IKEA Foundation 
356,Learnings,water,management,12,1/18/2024,IKEA Foundation 
357,Learnings,weather,events,12,1/18/2024,IKEA Foundation 
358,About,nikea,foundation,11,1/18/2024,IKEA Foundation 
359,Grants,ambition,level,11,1/18/2024,IKEA Foundation 
360,Grants,carbon,emissions,11,1/18/2024,IKEA Foundation 
361,Grants,chain,cooperation,11,1/18/2024,IKEA Foundation 
362,Grants,coalition,partner,11,1/18/2024,IKEA Foundation 
363,Grants,commissioning,parties,11,1/18/2024,IKEA Foundation 
364,Grants,employment,marketplace,11,1/18/2024,IKEA Foundation 
365,Grants,gpp,instrument,11,1/18/2024,IKEA Foundation 
366,Grants,greenhouse,gas,11,1/18/2024,IKEA Foundation 
367,Grants,klimaatvriendelijk,aanbesteden,11,1/18/2024,IKEA Foundation 
368,Grants,magic,bus,11,1/18/2024,IKEA Foundation 
369,Grants,nsource,dalberg,11,1/18/2024,IKEA Foundation 
370,Grants,reduction,measures,11,1/18/2024,IKEA Foundation 
371,Grants,rietbergen,martijn,11,1/18/2024,IKEA Foundation 
372,Grants,study,shows,11,1/18/2024,IKEA Foundation 
373,Grants,taking,part,11,1/18/2024,IKEA Foundation 
374,Grants,water,authorities,11,1/18/2024,IKEA Foundation 
375,Grants,women,ent,11,1/18/2024,IKEA Foundation 
376,Grants,working,relationships,11,1/18/2024,IKEA Foundation 
377,Learnings,advisory,group,11,1/18/2024,IKEA Foundation 
378,Learnings,agricultural,land,11,1/18/2024,IKEA Foundation 
379,Learnings,business,development,11,1/18/2024,IKEA Foundation 
380,Learnings,camp,rsc,11,1/18/2024,IKEA Foundation 
381,Learnings,community,based,11,1/18/2024,IKEA Foundation 
382,Learnings,consumption,expenditures,11,1/18/2024,IKEA Foundation 
383,Learnings,cooperative,structures,11,1/18/2024,IKEA Foundation 
384,Learnings,core,funding,11,1/18/2024,IKEA Foundation 
385,Learnings,farm,inputs,11,1/18/2024,IKEA Foundation 
386,Learnings,farmers,cooperative,11,1/18/2024,IKEA Foundation 
387,Learnings,financial,system,11,1/18/2024,IKEA Foundation 
388,Learnings,food,crops,11,1/18/2024,IKEA Foundation 
389,Learnings,foundation,investments,11,1/18/2024,IKEA Foundation 
390,Learnings,gender,based,11,1/18/2024,IKEA Foundation 
391,Learnings,generating,activities,11,1/18/2024,IKEA Foundation 
392,Learnings,health,services,11,1/18/2024,IKEA Foundation 
393,Learnings,hilaweyn,buramino,11,1/18/2024,IKEA Foundation 
394,Learnings,household,levels,11,1/18/2024,IKEA Foundation 
395,Learnings,internal,stakeholders,11,1/18/2024,IKEA Foundation 
396,Learnings,livelihoods,activities,11,1/18/2024,IKEA Foundation 
397,Learnings,livelihoods,interventions,11,1/18/2024,IKEA Foundation 
398,Learnings,livestock,traders,11,1/18/2024,IKEA Foundation 
399,Learnings,management,authority,11,1/18/2024,IKEA Foundation 
400,Learnings,member,explained,11,1/18/2024,IKEA Foundation 
401,Learnings,movement,building,11,1/18/2024,IKEA Foundation 
402,Learnings,organic,matter,11,1/18/2024,IKEA Foundation 
403,Learnings,organisational,structure,11,1/18/2024,IKEA Foundation 
404,Learnings,pension,funds,11,1/18/2024,IKEA Foundation 
405,Learnings,project,management,11,1/18/2024,IKEA Foundation 
406,Learnings,remote,refugee,11,1/18/2024,IKEA Foundation 
407,Learnings,rural,livelihoods,11,1/18/2024,IKEA Foundation 
408,Learnings,situation,analysis,11,1/18/2024,IKEA Foundation 
409,Learnings,solar,energy,11,1/18/2024,IKEA Foundation 
410,Learnings,support,staff,11,1/18/2024,IKEA Foundation 
411,Learnings,sustainable,economies,11,1/18/2024,IKEA Foundation 
412,Learnings,trading,cooperatives,11,1/18/2024,IKEA Foundation 
413,Learnings,tree,nurseries,11,1/18/2024,IKEA Foundation 
414,Grants,board,members,10,1/18/2024,IKEA Foundation 
415,Grants,carbon,reduction,10,1/18/2024,IKEA Foundation 
416,Grants,certificate,holders,10,1/18/2024,IKEA Foundation 
417,Grants,circular,economy,10,1/18/2024,IKEA Foundation 
418,Grants,coalition,governance,10,1/18/2024,IKEA Foundation 
419,Grants,corporate,advisory,10,1/18/2024,IKEA Foundation 
420,Grants,impact,board,10,1/18/2024,IKEA Foundation 
421,Grants,initiative,profiles,10,1/18/2024,IKEA Foundation 
422,Grants,peer,initiatives,10,1/18/2024,IKEA Foundation 
423,Grants,project,level,10,1/18/2024,IKEA Foundation 
424,Grants,psychosocial,support,10,1/18/2024,IKEA Foundation 
425,Learnings,action,plan,10,1/18/2024,IKEA Foundation 
426,Learnings,banking,sector,10,1/18/2024,IKEA Foundation 
427,Learnings,based,target,10,1/18/2024,IKEA Foundation 
428,Learnings,business,activities,10,1/18/2024,IKEA Foundation 
429,Learnings,business,case,10,1/18/2024,IKEA Foundation 
430,Learnings,cahw,member,10,1/18/2024,IKEA Foundation 
431,Learnings,coffee,production,10,1/18/2024,IKEA Foundation 
432,Learnings,consumption,metric,10,1/18/2024,IKEA Foundation 
